Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2017,17,1/1 1:00 ET,1/1/2017,TEN,-3.00,HOU,41,-$165 +$145,TEN,HOU
2017,17,1/1 1:00 ET,1/1/2017,BUF,-4.00,NYJ,43,-$190 +$170,NYJ,BUF
2017,17,1/1 1:00 ET,1/1/2017,BAL,-2.50,CIN,40.5,-$145 +$125,CIN,BAL
2017,17,1/1 4:25 ET,1/1/2017,WAS,-9.00,NYG,47,-$430 +$350,WAS,NYG
2017,17,1/1 8:25 ET,1/1/2017,GB,-3.50,DET,50.5,-$200 +$170,DET,GB
2017,17,1/1 1:00 ET,1/1/2017,IND,-5.50,JAX,48.5,-$250 +$210,IND,JAX
2017,17,1/1 1:00 ET,1/1/2017,PHI,-6.50,DAL,44,-$265 +$225,PHI,DAL
2017,17,1/1 1:00 ET,1/1/2017,MIN,-6.50,CHI,44,-$260 +$220,MIN,CHI
2017,17,1/1 1:00 ET,1/1/2017,TB,-3.50,CAR,44.5,-$175 +$155,TB,CAR
2017,17,1/1 1:00 ET,1/1/2017,PIT,-3.50,CLE,41.5,-$175 +$155,PIT,CLE
2017,17,1/1 4:25 ET,1/1/2017,ATL,-7.50,NO,58.5,-$370 +$310,ATL,NO
2017,17,1/1 1:00 ET,1/1/2017,NE,-8.00,MIA,47,-$370 +$310,MIA,NE
2017,17,1/1 4:25 ET,1/1/2017,ARI,-7.00,LA,39,-$320 +$260,LA,ARI
2017,17,1/1 4:25 ET,1/1/2017,KC,-6.00,SD,44.5,-$250 +$210,SD,KC
2017,17,1/1 4:25 ET,1/1/2017,SEA,-11.50,SF,44.5,-$600 +$450,SF,SEA
2017,17,1/1 4:25 ET,1/1/2017,DEN,-1.00,OAK,40,-$120 +$100,DEN,OAK
2016,16,12/22 8:25 ET,12/22/2016,PHI,-1.00,NYG,42.5,-$120 +$100,PHI,NYG
2016,16,12/24 1:00 ET,12/24/2016,WAS,-3.00,CHI,49,-$150 +$130,CHI,WAS
2016,16,12/24 1:00 ET,12/24/2016,BUF,-4.50,MIA,44,-$220 +$185,BUF,MIA
2016,16,12/24 4:25 ET,12/24/2016,NO,-3.00,TB,53,-$175 +$155,NO,TB
2016,16,12/24 1:00 ET,12/24/2016,ATL,-3.00,CAR,49,-$155 +$135,CAR,ATL
2016,16,12/24 1:00 ET,12/24/2016,GB,-6.50,MIN,44.5,-$300 +$250,GB,MIN
2016,16,12/24 1:00 ET,12/24/2016,NE,-17.00,NYJ,45,-$2900 +$1200,NE,NYJ
2016,16,12/24 1:00 ET,12/24/2016,TEN,-4.50,JAX,44,-$215 +$180,JAX,TEN
2016,16,12/24 1:00 ET,12/24/2016,SD,-4.50,CLE,45.5,-$220 +$180,CLE,SD
2016,16,12/24 4:05 ET,12/24/2016,OAK,-3.50,IND,52.5,-$175 +$155,OAK,IND
2016,16,12/24 4:25 ET,12/24/2016,LA,-6.00,SF,39.5,-$255 +$215,LA,SF
2016,16,12/24 4:25 ET,12/24/2016,SEA,-9.00,ARI,43.5,-$475 +$360,SEA,ARI
2016,16,12/24 8:25 ET,12/24/2016,HOU,-3.00,CIN,41.5,-$160 +$140,HOU,CIN
