Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2017,17,1/1 1:00 ET,1/1/2017,At Tennessee,-3,Houston,41,-$165 +$145,TEN,HOU
2017,17,1/1 1:00 ET,1/1/2017,Buffalo,-4,At NY Jets,43,-$190 +$170,NYJ,BUF
2017,17,1/1 1:00 ET,1/1/2017,Baltimore,-2.5,At Cincinnati,40.5,-$145 +$125,CIN,BAL
2017,17,1/1 4:25 ET,1/1/2017,At Washington,-9,NY Giants,47,-$430 +$350,WAS,NYG
2017,17,1/1 8:25 ET,1/1/2017,Green Bay,-3.5,At Detroit,50.5,-$200 +$170,DET,GB
2017,17,1/1 1:00 ET,1/1/2017,At Indianapolis,-5.5,Jacksonville,48.5,-$250 +$210,IND,JAX
2017,17,1/1 1:00 ET,1/1/2017,At Philadelphia,-6.5,Dallas,44,-$265 +$225,PHI,DAL
2017,17,1/1 1:00 ET,1/1/2017,At Minnesota,-6.5,Chicago,44,-$260 +$220,MIN,CHI
2017,17,1/1 1:00 ET,1/1/2017,At Tampa Bay,-3.5,Carolina,44.5,-$175 +$155,TB,CAR
2017,17,1/1 1:00 ET,1/1/2017,At Pittsburgh,-3.5,Cleveland,41.5,-$175 +$155,PIT,CLE
2017,17,1/1 4:25 ET,1/1/2017,At Atlanta,-7.5,New Orleans,58.5,-$370 +$310,ATL,NO
2017,17,1/1 1:00 ET,1/1/2017,New England,-8,At Miami,47,-$370 +$310,MIA,NE
2017,17,1/1 4:25 ET,1/1/2017,Arizona,-7,At Los Angeles,39,-$320 +$260,LA,ARI
2017,17,1/1 4:25 ET,1/1/2017,Kansas City,-6,At San Diego,44.5,-$250 +$210,SD,KC
2017,17,1/1 4:25 ET,1/1/2017,Seattle,-11.5,At San Francisco,44.5,-$600 +$450,SF,SEA
2017,17,1/1 4:25 ET,1/1/2017,At Denver,-1,Oakland,40,-$120 +$100,DEN,OAK
2016,16,12/22 8:25 ET,12/22/2016,At Philadelphia,-1,NY Giants,42.5,-$120 +$100,PHI,NYG
2016,16,12/24 1:00 ET,12/24/2016,Washington,-3,At Chicago,49,-$150 +$130,CHI,WAS
2016,16,12/24 1:00 ET,12/24/2016,At Buffalo,-4.5,Miami,44,-$220 +$185,BUF,MIA
2016,16,12/24 4:25 ET,12/24/2016,At New Orleans,-3,Tampa Bay,53,-$175 +$155,NO,TB
2016,16,12/24 1:00 ET,12/24/2016,Atlanta,-3,At Carolina,49,-$155 +$135,CAR,ATL
2016,16,12/24 1:00 ET,12/24/2016,At Green Bay,-6.5,Minnesota,44.5,-$300 +$250,GB,MIN
2016,16,12/24 1:00 ET,12/24/2016,At New England,-17,NY Jets,45,-$2900 +$1200,NE,NYJ
2016,16,12/24 1:00 ET,12/24/2016,Tennessee,-4.5,At Jacksonville,44,-$215 +$180,JAX,TEN
2016,16,12/24 1:00 ET,12/24/2016,San Diego,-4.5,At Cleveland,45.5,-$220 +$180,CLE,SD
2016,16,12/24 4:05 ET,12/24/2016,At Oakland,-3.5,Indianapolis,52.5,-$175 +$155,OAK,IND
2016,16,12/24 4:25 ET,12/24/2016,At Los Angeles,-6,San Francisco,39.5,-$255 +$215,LA,SF
2016,16,12/24 4:25 ET,12/24/2016,At Seattle,-9,Arizona,43.5,-$475 +$360,SEA,ARI
2016,16,12/24 8:25 ET,12/24/2016,At Houston,-3,Cincinnati,41.5,-$160 +$140,HOU,CIN
2016,16,12/25 4:30 ET,12/25/2016,At Pittsburgh,-5.5,Baltimore,46.5,-$275 +$235,PIT,BAL
2016,16,12/25 8:30 ET,12/25/2016,At Kansas City,-3.5,Denver,38,-$205 +$175,KC,DEN
2016,15,12/15 8:25 ET,12/15/2016,At Seattle,-15.5,Los Angeles,39.5,-$1600 +$900,SEA,LA
2016,15,12/17 8:25 ET,12/17/2016,Miami,-2.5,At NY Jets,39.5,-$135 +$115,NYJ,MIA
2016,15,12/18 8:30 ET,12/18/2016,At Dallas,-7,Tampa Bay,47.5,-$300 +$250,DAL,TB
2016,15,12/18 1:00 ET,12/18/2016,At NY Giants,-4,Detroit,42,-$210 +$180,NYG,DET
2016,15,12/18 1:00 ET,12/18/2016,At Baltimore,-5,Philadelphia,41,-$240 +$200,BAL,PHI
2016,15,12/18 1:00 ET,12/18/2016,Green Bay,-4.5,At Chicago,40.5,-$225 +$190,CHI,GB
2016,15,12/18 1:00 ET,12/18/2016,At Minnesota,-5,Indianapolis,45,-$235 +$195,MIN,IND
2016,15,12/18 1:00 ET,12/18/2016,At Buffalo,-10.5,Cleveland,43,-$550 +$400,BUF,CLE
2016,15,12/18 1:00 ET,12/18/2016,At Kansas City,-6,Tennessee,43,-$250 +$210,KC,TEN
2016,15,12/18 1:00 ET,12/18/2016,At Houston,-3.5,Jacksonville,39.5,-$190 +$165,HOU,JAX
2016,15,12/18 4:05 ET,12/18/2016,At Arizona,-3,New Orleans,48,-$160 +$140,ARI,NO
2016,15,12/18 4:05 ET,12/18/2016,At Atlanta,-13.5,San Francisco,51.5,-$1100 +$700,ATL,SF
2016,15,12/18 4:25 ET,12/18/2016,New England,-3,At Denver,43.5,-$160 +$140,DEN,NE
2016,15,12/18 4:25 ET,12/18/2016,Oakland,-2.5,At San Diego,50,-$140 +$120,SD,OAK
2016,15,12/18 1:00 ET,12/18/2016,Pittsburgh,-3,At Cincinnati,46,-$165 +$145,CIN,PIT
2016,14,12/8 8:25 ET,12/8/2016,At Kansas City,-3.5,Oakland,46,-$195 +$170,KC,OAK
2016,14,12/11 1:00 ET,12/11/2016,At Tennessee,-2,Denver,44,-$130 +$110,TEN,DEN
2016,14,12/11 1:00 ET,12/11/2016,At Carolina,-1,San Diego,48.5,-$120 +$100,CAR,SD
2016,14,12/11 1:00 ET,12/11/2016,At Indianapolis,-6.5,Houston,47.5,-$290 +$240,IND,HOU
2016,14,12/11 1:00 ET,12/11/2016,Cincinnati,-5,At Cleveland,41.5,-$220 +$180,CLE,CIN
2016,14,12/11 1:00 ET,12/11/2016,Pittsburgh,-2,At Buffalo,45.5,-$130 +$110,BUF,PIT
2016,14,12/11 1:00 ET,12/11/2016,Arizona,-2,At Miami,44,-$130 +$110,MIA,ARI
2016,14,12/11 1:00 ET,12/11/2016,At Detroit,-7.5,Chicago,42,-$360 +$300,DET,CHI
2016,14,12/11 1:00 ET,12/11/2016,Minnesota,-3.5,At Jacksonville,38,-$180 +$160,JAX,MIN
2016,14,12/11 4:25 ET,12/11/2016,At Tampa Bay,-2,New Orleans,52,-$130 +$110,TB,NO
2016,14,12/11 1:00 ET,12/11/2016,Washington,-2.5,At Philadelphia,48.5,-$135 +$115,PHI,WAS
2016,14,12/11 4:05 ET,12/11/2016,At San Francisco,-3,NY Jets,43,-$145 +$125,SF,NYJ
2016,14,12/11 4:25 ET,12/11/2016,Seattle,-3,At Green Bay,47,-$150 +$130,GB,SEA
2016,14,12/11 4:25 ET,12/11/2016,Atlanta,-5,At Los Angeles,44,-$235 +$195,LA,ATL
2016,14,12/11 8:30 ET,12/11/2016,Dallas,-3.5,At NY Giants,47,-$200 +$170,NYG,DAL
2016,13,12/1 8:25 ET,12/1/2016,Dallas,-3,At Minnesota,43.5,-$170 +$150,MIN,DAL
2016,13,12/4 1:00 ET,12/4/2016,Denver,-3.5,At Jacksonville,38.5,-$190 +$165,JAX,DEN
2016,13,12/4 1:00 ET,12/4/2016,At Atlanta,-5,Kansas City,50,-$220 +$185,ATL,KC
2016,13,12/4 1:00 ET,12/4/2016,At Green Bay,-7,Houston,44.5,-$320 +$260,GB,HOU
2016,13,12/4 1:00 ET,12/4/2016,At Cincinnati,-1.5,Philadelphia,42,-$125 +$105,CIN,PHI
2016,13,12/4 1:00 ET,12/4/2016,At New Orleans,-6.5,Detroit,53.5,-$280 +$240,NO,DET
2016,13,12/4 1:00 ET,12/4/2016,San Francisco,-1,At Chicago,44,-$120 +$100,CHI,SF
2016,13,12/4 1:00 ET,12/4/2016,At New England,-13.5,Los Angeles,45,-$950 +$650,NE,LA
2016,13,12/4 1:00 ET,12/4/2016,At Baltimore,-3.5,Miami,41.5,-$185 +$165,BAL,MIA
2016,13,12/4 4:05 ET,12/4/2016,At Oakland,-3,Buffalo,48.5,-$160 +$140,OAK,BUF
2016,13,12/4 4:25 ET,12/4/2016,At San Diego,-3.5,Tampa Bay,49,-$180 +$160,SD,TB
2016,13,12/4 4:25 ET,12/4/2016,At Arizona,-2.5,Washington,48.5,-$140 +$120,ARI,WAS
2016,13,12/4 4:25 ET,12/4/2016,At Pittsburgh,-6.5,NY Giants,49.5,-$290 +$240,PIT,NYG
2016,13,12/4 8:30 ET,12/4/2016,At Seattle,-8.5,Carolina,44,-$430 +$340,SEA,CAR
2016,12,11/24 12:30 ET,11/24/2016,At Detroit,-1.5,Minnesota,42,-$125 +$110,DET,MIN
2016,12,11/24 4:30 ET,11/24/2016,At Dallas,-6,Washington,53.5,-$250 +$210,DAL,WAS
2016,12,11/24 8:30 ET,11/24/2016,Pittsburgh,-8.5,At Indianapolis,49.5,-$410 +$340,IND,PIT
2016,12,11/27 1:00 ET,11/27/2016,San Diego,-2.5,At Houston,46,-$140 +$120,HOU,SD
2016,12,11/27 1:00 ET,11/27/2016,Tennessee,-6.5,At Chicago,42,-$280 +$240,CHI,TEN
2016,12,11/27 1:00 ET,11/27/2016,At Buffalo,-8.5,Jacksonville,44,-$410 +$340,BUF,JAX
2016,12,11/27 1:00 ET,11/27/2016,At Baltimore,-3.5,Cincinnati,42,-$175 +$155,BAL,CIN
2016,12,11/27 1:00 ET,11/27/2016,At Atlanta,-4,Arizona,49,-$200 +$170,ATL,ARI
2016,12,11/27 1:00 ET,11/27/2016,At Miami,-7,San Francisco,45,-$350 +$290,MIA,SF
2016,12,11/27 1:00 ET,11/27/2016,At New Orleans,-8,Los Angeles,45,-$360 +$300,NO,LA
2016,12,11/27 1:00 ET,11/27/2016,NY Giants,-6.5,At Cleveland,46.5,-$300 +$250,CLE,NYG
2016,12,11/27 4:05 ET,11/27/2016,Seattle,-5.5,At Tampa Bay,46,-$250 +$210,TB,SEA
2016,12,11/27 4:25 ET,11/27/2016,At Oakland,-3.5,Carolina,48.5,-$185 +$165,OAK,CAR
2016,12,11/27 8:30 ET,11/27/2016,At Denver,-3.5,Kansas City,40,-$195 +$170,DEN,KC
2016,12,11/27 4:25 ET,11/27/2016,New England,-9.5,At NY Jets,48,-$500 +$400,NYJ,NE
2016,11,11/17 8:25 ET,11/17/2016,At Carolina,-3.5,New Orleans,53.5,-$180 +$160,CAR,NO
2016,11,11/20 1:00 ET,11/20/2016,At Indianapolis,-3,Tennessee,54,-$150 +$130,IND,TEN
2016,11,11/20 1:00 ET,11/20/2016,At Detroit,-5.5,Jacksonville,47,-$240 +$200,DET,JAX
2016,11,11/20 1:00 ET,11/20/2016,At Kansas City,-7,Tampa Bay,45,-$320 +$260,KC,TB
2016,11,11/20 1:00 ET,11/20/2016,At NY Giants,-7,Chicago,41.5,-$300 +$250,NYG,CHI
2016,11,11/20 1:00 ET,11/20/2016,At Minnesota,-2,Arizona,40,-$130 +$110,MIN,ARI
2016,11,11/20 1:00 ET,11/20/2016,At Cincinnati,-2.5,Buffalo,48,-$140 +$120,CIN,BUF
2016,11,11/20 1:00 ET,11/20/2016,At Dallas,-7,Baltimore,44.5,-$320 +$260,DAL,BAL
2016,11,11/20 1:00 ET,11/20/2016,Pittsburgh,-8.5,At Cleveland,45.5,-$400 +$330,CLE,PIT
2016,11,11/20 4:05 ET,11/20/2016,Miami,-1,At Los Angeles,38.5,-$115  -$105,LA,MIA
2016,11,11/20 4:25 ET,11/20/2016,New England,-11.5,At San Francisco,51.5,-$625 +$450,SF,NE
2016,11,11/20 4:25 ET,11/20/2016,At Seattle,-6.5,Philadelphia,43,-$290 +$245,SEA,PHI
2016,11,11/20 8:30 ET,11/20/2016,At Washington,-3,Green Bay,48.5,-$145 +$125,WAS,GB
2016,10,11/10 8:25 ET,11/10/2016,At Baltimore,-7.5,Cleveland,44,-$350 +$290,BAL,CLE
2016,10,11/13 1:00 ET,11/13/2016,At Jacksonville,-3,Houston,42,-$155 +$135,JAX,HOU
2016,10,11/13 1:00 ET,11/13/2016,At Carolina,-3,Kansas City,44,-$165 +$145,CAR,KC
2016,10,11/13 1:00 ET,11/13/2016,At New Orleans,-3,Denver,50,-$155 +$135,NO,DEN
2016,10,11/13 1:00 ET,11/13/2016,Los Angeles,-1,At NY Jets,38.5,-$120 +$100,NYJ,LA
2016,10,11/13 1:00 ET,11/13/2016,At Philadelphia,-1.5,Atlanta,49,-$125 +$105,PHI,ATL
2016,10,11/13 1:00 ET,11/13/2016,At Washington,-2.5,Minnesota,42,-$145 +$125,WAS,MIN
2016,10,11/13 1:00 ET,11/13/2016,Green Bay,-3,At Tennessee,49,-$155 +$135,TEN,GB
2016,10,11/13 1:00 ET,11/13/2016,Chicago,-2.5,At Tampa Bay,45,-$145 +$125,TB,CHI
2016,10,11/13 4:05 ET,11/13/2016,At San Diego,-4.5,Miami,49,-$215 +$180,SD,MIA
2016,10,11/13 4:25 ET,11/13/2016,At Arizona,-14,San Francisco,47,-$1050 +$675,ARI,SF
2016,10,11/13 4:25 ET,11/13/2016,At Pittsburgh,-3,Dallas,51,-$170 +$150,PIT,DAL
2016,10,11/13 8:30 ET,11/13/2016,At New England,-7.5,Seattle,49.5,-$350 +$290,NE,SEA
2016,9,11/3 8:25 ET,11/3/2016,Atlanta,-4.5,At Tampa Bay,49.5,-$210 +$180,TB,ATL
2016,9,11/6 1:00 ET,11/6/2016,At Kansas City,-7,Jacksonville,43,-$330 +$270,KC,JAX
2016,9,11/6 1:00 ET,11/6/2016,At Minnesota,-5.5,Detroit,42.5,-$245 +$205,MIN,DET
2016,9,11/6 1:00 ET,11/6/2016,At NY Giants,-3,Philadelphia,43,-$155 +$135,NYG,PHI
2016,9,11/6 1:00 ET,11/6/2016,Dallas,-7.5,At Cleveland,49.5,-$330 +$270,CLE,DAL
2016,9,11/6 1:00 ET,11/6/2016,At Miami,-4,NY Jets,45,-$200 +$170,MIA,NYJ
2016,9,11/6 1:00 ET,11/6/2016,Pittsburgh,-3,At Baltimore,46,-$170 +$150,BAL,PIT
2016,9,11/6 4:05 ET,11/6/2016,New Orleans,-5,At San Francisco,53,-$230 +$190,SF,NO
2016,9,11/6 4:05 ET,11/6/2016,Carolina,-3,At Los Angeles,44.5,-$160 +$140,LA,CAR
2016,9,11/6 4:25 ET,11/6/2016,At Green Bay,-7.5,Indianapolis,52,-$340 +$280,GB,IND
2016,9,11/6 4:25 ET,11/6/2016,At San Diego,-4,Tennessee,47.5,-$185 +$165,SD,TEN
2016,9,11/6 8:30 ET,11/6/2016,At Oakland,-1,Denver,44.5,-$120 +$100,OAK,DEN
2016,8,10/27 8:25 ET,10/27/2016,At Tennessee,-3,Jacksonville,43.5,-$150 +$130,TEN,JAX
2016,8,10/30/2017 9:30,10/30/2016,Cincinnati,-3,Washington,49.5,-$155 +$135,CIN,WAS
2016,8,10/30 4:25 ET,10/30/2016,At Atlanta,-3,Green Bay,51,-$165 +$145,ATL,GB
2016,8,10/30 1:00 ET,10/30/2016,At Houston,-1,Detroit,46.5,-$120 +$100,HOU,DET
2016,8,10/30 1:00 ET,10/30/2016,Seattle,-1,At New Orleans,50,-$120 +$100,NO,SEA
2016,8,10/30 1:00 ET,10/30/2016,New England,-6.5,At Buffalo,48.5,-$270 +$230,BUF,NE
