"","Season","Player","Team","Pos","name"
"1",2016,"Alani Fua","ARI","OLB","A.Fua"
"2",2016,"Alex Okafor","ARI","OLB","A.Okafor"
"3",2016,"Andre Ellington","ARI","RB","A.Ellington"
"4",2016,"Brandon Williams","ARI","CB","B.Williams"
"5",2016,"Brian Dixon","ARI","DB","B.Dixon"
"6",2016,"Brittan Golden","ARI","WR","B.Golden"
"7",2016,"Calais Campbell","ARI","DE","C.Campbell"
"8",2016,"Carson Palmer","ARI","QB","C.Palmer"
"9",2016,"Chandler Catanzaro","ARI","K","C.Catanzaro"
"10",2016,"Chandler Jones","ARI","OLB","C.Jones"
"11",2016,"Chris Johnson","ARI","RB","C.Johnson"
"12",2016,"Christian Bryant","ARI","DB","C.Bryant"
"13",2016,"Corey Peters","ARI","NT","C.Peters"
"14",2016,"D.J. Swearinger","ARI","FS","D.Swearinger"
"15",2016,"Darren Fells","ARI","TE","D.Fells"
"16",2016,"David Johnson","ARI","RB","D.Johnson"
"17",2016,"Deone Bucannon","ARI","OLB","D.Bucannon"
"18",2016,"Drew Butler","ARI","P","D.Butler"
"19",2016,"Drew Stanton","ARI","QB","D.Stanton"
"20",2016,"Ed Stinson","ARI","DE","E.Stinson"
"21",2016,"Frostee Rucker","ARI","DE","F.Rucker"
"22",2016,"Gabe Martin","ARI","LB","G.Martin"
"23",2016,"Givens Price","ARI","DT","G.Price"
"24",2016,"Hakeem Valles","ARI","TE","H.Valles"
"25",2016,"Harlan Miller","ARI","FS","H.Miller"
"26",2016,"Ifeanyi Momah","ARI","TE","I.Momah"
"27",2016,"J.J. Nelson","ARI","WR","J.Nelson"
"28",2016,"Jaron Brown","ARI","WR","J.Brown"
"29",2016,"Jeremy Ross","ARI","WR","J.Ross"
"30",2016,"Jermaine Gresham","ARI","TE","J.Gresham"
"31",2016,"John Brown","ARI","WR","J.Brown"
"32",2016,"Joplo Bartu","ARI","LB","J.Bartu"
"33",2016,"Josh Mauro","ARI","DE","J.Mauro"
"34",2016,"Justin Bethel","ARI","CB","J.Bethel"
"35",2016,"Kareem Martin","ARI","LB","K.Martin"
"36",2016,"Kerwynn Williams","ARI","RB","K.Williams"
"37",2016,"Kevin Minter","ARI","MLB","K.Minter"
"38",2016,"Larry Fitzgerald","ARI","WR","L.Fitzgerald"
"39",2016,"Marcus Cooper","ARI","CB","M.Cooper"
"40",2016,"Markus Golden","ARI","OLB","M.Golden"
"41",2016,"Matt Wile","ARI","P","M.Wile"
"42",2016,"Olsen Pierre","ARI","DT","O.Pierre"
"43",2016,"Patrick Peterson","ARI","CB","P.Peterson"
"44",2016,"Robert Nkemdiche","ARI","DT","R.Nkemdiche"
"45",2016,"Rodney Gunter","ARI","DE","R.Gunter"
"46",2016,"Ryan Quigley","ARI","P","R.Quigley"
"47",2016,"Scooby Wright","ARI","ILB","S.Wright"
"48",2016,"Sio Moore","ARI","OLB","S.Moore"
"49",2016,"Stepfan Taylor","ARI","RB","S.Taylor"
"50",2016,"Tharold Simon","ARI","CB","T.Simon"
"51",2016,"Tony Jefferson","ARI","SS","T.Jefferson"
"52",2016,"Trevon Hartfield","ARI","DB","T.Hartfield"
"53",2016,"Troy Niklas","ARI","TE","T.Niklas"
"54",2016,"Tyrann Mathieu","ARI","FS","T.Mathieu"
"55",2016,"Tyvon Branch","ARI","DB","T.Branch"
"56",2016,"Xavier Williams","ARI","NT","X.Williams"
"57",2016,"Zaviar Gooden","ARI","LB","Z.Gooden"
"58",2016,"A.J. Hawk","ATL","LB","A.Hawk"
"59",2016,"Adrian Clayborn","ATL","DE","A.Clayborn"
"60",2016,"Aldrick Robinson","ATL","WR","A.Robinson"
"61",2016,"Austin Hooper","ATL","TE","A.Hooper"
"62",2016,"Blidi Wreh-Wilson","ATL","DB","B.Wreh-Wilson"
"63",2016,"Brian Poole","ATL","CB","B.Poole"
"64",2016,"Brooks Reed","ATL","DE","B.Reed"
"65",2016,"C.J. Goodwin","ATL","CB","C.Goodwin"
"66",2016,"Cliff Matthews","ATL","DE","C.Matthews"
"67",2016,"Courtney Upshaw","ATL","DE","C.Upshaw"
"68",2016,"D.J. Tialavea","ATL","TE","D.Tialavea"
"69",2016,"Dashon Goldson","ATL","DB","D.Goldson"
"70",2016,"De'Vondre Campbell","ATL","OLB","D.Campbell"
"71",2016,"Deion Jones","ATL","MLB","D.Jones"
"72",2016,"Deji Olatoye","ATL","CB","D.Olatoye"
"73",2016,"Derrick Shelby","ATL","DE","D.Shelby"
"74",2016,"Desmond Trufant","ATL","CB","D.Trufant"
"75",2016,"Devonta Freeman","ATL","RB","D.Freeman"
"76",2016,"Dwight Freeney","ATL","DE","D.Freeney"
"77",2016,"Eric Weems","ATL","WR","E.Weems"
"78",2016,"Grady Jarrett","ATL","DT","G.Jarrett"
"79",2016,"Jacob Tamme","ATL","TE","J.Tamme"
"80",2016,"Jalen Collins","ATL","CB","J.Collins"
"81",2016,"Jonathan Babineaux","ATL","DT","J.Babineaux"
"82",2016,"Josh Keyes","ATL","LB","J.Keyes"
"83",2016,"Josh Perkins","ATL","TE","J.Perkins"
"84",2016,"Julio Jones","ATL","WR","J.Jones"
"85",2016,"Justin Hardy","ATL","WR","J.Hardy"
"86",2016,"Keanu Neal","ATL","SS","K.Neal"
"87",2016,"Kemal Ishmael","ATL","SS","K.Ishmael"
"88",2016,"LaRoy Reynolds","ATL","MLB","L.Reynolds"
"89",2016,"Levine Toilolo","ATL","TE","L.Toilolo"
"90",2016,"Malliciah Goodman","ATL","DE","M.Goodman"
"91",2016,"Matt Bosher","ATL","P","M.Bosher"
"92",2016,"Matt Bryant","ATL","K","M.Bryant"
"93",2016,"Matt Ryan","ATL","QB","M.Ryan"
"94",2016,"Matt Schaub","ATL","QB","M.Schaub"
"95",2016,"Mohamed Sanu","ATL","WR","M.Sanu"
"96",2016,"Nick Williams","ATL","WR","N.Williams"
"97",2016,"O'Brien Schofield","ATL","DE","O.Schofield"
"98",2016,"Patrick DiMarco","ATL","FB","P.DiMarco"
"99",2016,"Paul Worrilow","ATL","MLB","P.Worrilow"
"100",2016,"Philip Wheeler","ATL","OLB","P.Wheeler"
"101",2016,"Ra'Shede Hageman","ATL","DT","R.Hageman"
"102",2016,"Ricardo Allen","ATL","FS","R.Allen"
"103",2016,"Robert Alford","ATL","CB","R.Alford"
"104",2016,"Sean Weatherspoon","ATL","OLB","S.Weatherspoon"
"105",2016,"Sharrod Neasman","ATL","DB","S.Neasman"
"106",2016,"Stevan Ridley","ATL","RB","S.Ridley"
"107",2016,"Taylor Gabriel","ATL","WR","T.Gabriel"
"108",2016,"Terron Ward","ATL","RB","T.Ward"
"109",2016,"Tevin Coleman","ATL","RB","T.Coleman"
"110",2016,"Tyson Jackson","ATL","DE","T.Jackson"
"111",2016,"Vic Beasley","ATL","OLB","V.Beasley"
"112",2016,"Albert McClellan","BAL","OLB","A.McClellan"
